35	灯下漫笔		鲁迅		39	39	1997	19.5
16	BASIC语言		谭浩强		38	38	1980	18.0
18	C程序设计		谭浩强		40	40	2007	26.0
70	阿Q正传			鲁迅		28	28	1984	13.5
5	计算机组成原理		白中英		56	56	2008	39.0
50	意志力训练手册		美·弗兰克	46	46	2005	20.0
22	打出速度-五笔教程	导向科技	45	45	2003	18.0
60	幽默大师		南琦		48	48	2007	38.5
13	鲁迅小说选		鲁迅		39	39	1976	18.3
17	计算机组成原理题库	白中英		36	36	2008	18.5
12	坟			鲁迅		55	55	1973	8.6
45	学会说话		南琦		57	57	2004	18.5
25	准风月谈		鲁迅		60	60	1973	13.9
42	超越自己		南琦		45	45	2007	15.0
15	鲁迅杂文选		鲁迅		30	30	1973	18.9
90	鲁迅日文作品集		鲁迅		45	45	1981	15.5
30	数字电子简明教程	余孟尝		55	55	2005	35.0
7	数据结构(C语言版)	严蔚敏		60	60	2008	30.0
